Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem,named_labels
улица Советская,50А,2021-06-05 22:08:11.225,Тротуар возле рощи,10000,"['тротуар', 'возле', 'роща']",Необходимость дороги/тротуара
улица Кукшумская,9,2021-06-11 20:56:03.802,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,10001,"['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'чэмк']",Общее благоустройство
улица Кукшумская,9,2021-06-11 21:00:13.376,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,10002,"['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'чэмк']",Общее благоустройство
улица Социалистическая,19,2021-06-12 13:08:16.467,"Бегают тараканы по всему подъезду, необходимо вызывать службу дезинсекции.
Течет крыша, нужен кап.ремонт крыши - давно не делали, жэк не реагирует на просьбы жителей",10003,"['бегать', 'таракан', 'весь', 'подъезд', 'необходимо', 'вызывать', 'служба', 'дезинсекция', 'течь', 'крыша', 'нужный', 'кап', 'ремонт', 'крыша', ' - ', 'давно', 'делать', 'жэк', 'реагировать', 'просьба', 'житель']",Общее благоустройство
улица Ахазова,7,2021-06-15 17:10:23.232,"Мы жильцы дома №7 живем с 1978 и капитального ремонта ни разу не было. Прошу вас посодействовать, чтобы наш дом включили в программу капитального ремонта не 2030-2035, как можно раньше.
Наш двор 40 лет назад не был рассчитан на такое количество автомобилей, зимой они заезжают на тротуар, мешают чистить снег. Хотелось бы что бы помогли как не будь решить эту проблему",10004,"['жилец', 'дом', '№', '7', 'жить', '1978', 'капитальный', 'ремонт', 'просить', 'посодействовать', 'наш', 'дом', 'включать', 'программа', 'капитальный', 'ремонт', '2030', '-', '2035', 'рано', 'наш', 'двор', '40', 'год', 'назад', 'рассчитать', 'количество', 'автомобиль', 'зима', 'заезжать', 'тротуар', 'мешать', 'чистить', 'снег', 'хотеться', 'помогать', 'решать', 'проблема']",Общее благоустройство
улица Кадыкова,18 корп. 1,2021-06-05 17:12:17.676,Нужны дополнительные парковочные места..,10005,"['нужный', 'дополнительный', 'парковочный', 'место', '..']",Капитальный ремонт в доме
улица Ольдеевская,74,2021-06-12 22:02:42.455,Нужна нам всем жителям деревни Дорога!!,10006,"['нужный', 'весь', 'житель', 'деревня', 'дорога', '!!']",Общее благоустройство
проспект Ленина,25,2021-06-07 18:55:59.315,Навести порядок и обустроить место для ТБО.,10007,"['навещать', 'порядок', 'обустраивать', 'место', 'тбо']",Общее благоустройство
проспект Мира,ё,2021-06-09 09:54:16.566,сделать дорогу,10008,"['сделать', 'дорога']",Необходимость дороги/тротуара
переулок Ягодный,7,2021-06-07 22:23:15.328,"поменять в доме провода, щиток опасный.нужен кап.ремонт",10009,"['поменять', 'дом', 'провод', 'щиток', 'опасный', 'нужный', 'кап', 'ремонт']",Капитальный ремонт в доме
бульвар Гидростроителей,4,2021-06-14 17:28:44.314,"Большая комиссия при оплате КУ на почте, приходили проверять вентиляцию, через 10 мин озвучили сумму 5000, не выполнив работу(мошенники) ",10010,"['большой', 'комиссия', 'оплата', 'ку', 'почта', 'приходить', 'проверять', 'вентиляция', '10', 'мина', 'озвучивать', 'сумма', '5000', 'выполнять', 'работа', '(', 'мошенник']",Общее благоустройство
улица Винокурова,71,2021-06-08 21:04:29.372,Поменять бордюры. Скамейки поставили под окнами. Скамейки поставить с одной стороны. Скамейки поставить подальше от домов ,10011,"['поменять', 'бордюр', 'скамейка', 'поставлять', 'окно', 'скамейка', 'поставлять', 'сторона', 'скамейка', 'поставлять', 'далеко', 'дом']",Общее благоустройство
улица Эльгера,17,2021-06-07 11:38:43.309,Социальная помощь инвалидам. ,10012,"['социальный', 'помощь', 'инвалид']",Общее благоустройство
улица П.В.Дементьева,22,2021-06-09 11:28:13.169,"спорт площадки, мало деревьев",10013,"['спорт', 'площадка', 'мало', 'дерево']",Необходимость дороги/тротуара
улица 50 лет Октября,14,2021-06-07 19:28:35.630,"Благоустройство территории 
Ремонт дорог",10014,"['благоустройство', 'территория', ' \n', 'ремонт', 'дорогой']",Ремонт дороги
бульвар Эгерский,25,2021-06-11 23:14:46.048,Благоустройство дет. площадки.,10015,"['благоустройство', 'дет', 'площадка']",Необходимость дороги/тротуара
проспект Мира,38,2021-06-06 19:14:43.767,"Благоустройство детской площадки
",10016,"['благоустройство', 'детский', 'площадка']",Общее благоустройство
улица Чернышевского,27,2021-06-07 23:31:02.995,"Мало школ, банкоматов",10017,"['мало', 'школа', 'банкомат']",Парковка/школа
проспект Мира,23Б,2021-06-09 09:37:56.505,"контроль цен жкх
в магазине",10018,"['контроль', 'цена', 'жкх', 'магазин']",Общее благоустройство
улица 10 Пятилетки,46,2021-06-09 23:30:17.596,Благоустройство 10-й Пятилетки,10019,"['благоустройство', '10', '-', 'й', 'пятилетка']",Общее благоустройство
улица Бичурина,8,2021-06-05 22:00:32.650,Нужны скамейки. Ремонт дороги.,10020,"['нужный', 'скамейка', 'ремонт', 'дорога']",Общее благоустройство
улица Ахазова,3,2021-06-06 21:59:56.529,"Благоустроить дворовую территорию ( детскую площадку), дорога. ",10021,"['благоустраивать', 'дворовый', 'территория', ' ( ', 'детский', 'площадка', '), ', 'дорога']",Общее благоустройство
улица Советская,12,2021-06-08 14:46:47.742,Отремонтировать дорогу перед домом,10022,"['отремонтировать', 'дорога', 'дом']",Ремонт дороги
улица Комсомольская,12,2021-06-14 18:47:08.284,"Ремонт дороги, обустройство детской площадки",10023,"['ремонт', 'дорога', 'обустройство', 'детский', 'площадка']",Необходимость дороги/тротуара
улица Энтузиастов,15,2021-07-06 12:28:52.116,"Чтобы больше обращали внимание на престарелых пенсионеров и помогали отремонтировать их квартиры.
",10024,"['обращать', 'внимание', 'престарелый', 'пенсионер', 'помогать', 'отремонтировать', 'квартира']",Общее благоустройство
улица Энтузиастов,15,2021-06-10 15:43:40.599,"больше внимания пенсионерам, и помогали отремонтировать их квартиры",10025,"['внимание', 'пенсионер', 'помогать', 'отремонтировать', 'квартира']",Необходимость дороги/тротуара
проспект Ленина,56,2021-06-13 16:45:48.905,"хочу астелить окно , тк лицевая сторона. уже был раговор.

сделать тратуар",10026,"['хотеть', 'астилать', 'окно', ' , ', 'тк', 'лицевой', 'сторона', 'раговор', 'сделать', 'тратуар']",Необходимость дороги/тротуара
бульвар Юго-Западный,10,2021-06-07 12:45:39.095,"Ухоженные площадки, хорошие дороги, летом - благоустроенные дворы, зимой - каток или хоккейная площадка для детей",10027,"['ухоженный', 'площадка', 'хороший', 'дорога', 'лето', ' - ', 'благоустроенный', 'двор', 'зима', ' - ', 'каток', 'хоккейный', 'площадка', 'ребенок']",Необходимость дороги/тротуара
"улица д. Чандрово, ул. Чандровская",102,2021-06-11 00:12:50.218,"Отремонтировать клуб, сделать нормальную асфальтированную дорогу и тротуар, поставить аптечный пункт",10028,"['отремонтировать', 'клуб', 'сделать', 'нормальный', 'асфальтировать', 'дорога', 'тротуар', 'поставлять', 'аптечный', 'пункт']",Общее благоустройство
переулок Молодежный,3,2021-06-07 01:48:54.250,"Асфальтированный тротуар от 1-9 дома 
Детская площадка
Разводка воды",10029,"['асфальтировать', 'тротуар', '1', '-', '9', 'дом', ' \n', 'детский', 'площадка', 'разводка', 'вода']",Общее благоустройство
улица Комсомольская,22,2021-06-14 19:12:21.123,Посадить кустарники,10030,"['посадить', 'кустарник']",Общее благоустройство
проспект Мира,23,2021-06-09 00:03:55.087,хорошие з/п и пенсию,10031,"['хороший', 'з', '/', 'п', 'пенсия']",Общее благоустройство
проспект Мира,23,2021-06-08 23:49:28.893,"ремонт подьездов, дорог",10032,"['ремонт', 'подьезд', 'дорога']",Капитальный ремонт в доме
улица Советская,73,2021-06-11 23:37:56.532,"Навести порядок со стороны Советской 77 (стоматология). Всегда грязно, нет тротуаров! Нет дороги к остановке.",10033,"['навещать', 'порядок', 'сторона', 'советский', '77', ' (', 'стоматология', ')', 'грязно', 'тротуар', '! ', 'дорога', 'остановка']",Необходимость дороги/тротуара
улица Эльгера,16,2021-06-06 16:31:57.560,Ремонт  подъезда по улице Эльгера дом 16.,10034,"['ремонт', 'подъезд', 'улица', 'эльгер', 'дом', '16']",Капитальный ремонт в доме
улица Коммунистическая,24,2021-06-09 12:25:54.874,"Прошу принять меры в отношении жильцов нашего дома, т.к. выбрасывают мусор прямо из окон квартир верхних этажей. Вокруг дома полное антисанитария, просим принят меры за бездействие к УК. В зимнее время гололед, сосульки не огораживают, уборка подъезда очень редко.",10035,"['просить', 'принимать', 'мера', 'отношение', 'жилец', 'наш', 'дом', 'т', 'выбрасывать', 'мусор', 'прямо', 'окно', 'квартира', 'верхний', 'этаж', 'вокруг', 'дом', 'полный', 'антисанитария', 'просить', 'принимать', 'мера', 'бездействие', 'ук', 'зимний', 'время', 'гололед', 'сосулька', 'огораживать', 'уборка', 'подъезд', 'очень', 'редко']",Общее благоустройство
улица Яноушека,1,2021-06-05 21:55:56.499,дет.площадку,10036,"['дет', 'площадка']",Детская площадка
улица П.В.Дементьева,18 корп. 3,2021-06-08 09:38:54.429,"парк, заменить покрытие дет.площадки, увеличить парковку",10037,"['парк', 'заменять', 'покрытие', 'дет', 'площадка', 'увеличивать', 'парковка']",Детская площадка
улица Ленинского Комсомола,24 корп. 2,2021-06-14 13:27:00.829,"Срубить старые деревья!
Чтобы парковка была не рядом с детской площадкой!
Установить видеонаблюдение!",10038,"['срубать', 'старый', 'дерево', '!', 'парковка', 'рядом', 'детский', 'площадка', '!', 'устанавливать', 'видеонаблюдение', '!']",Общее благоустройство
улица Энгельса,1 корп. 2,2021-06-09 11:40:44.105,сделать ремонт дорог вокруг домов 1к1 1к2 1к3 по энгельса,10039,"['сделать', 'ремонт', 'дорога', 'вокруг', 'дом', '1к1', '1к2', '1к3', 'энгельс']",Необходимость дороги/тротуара
проспект Тракторостроителей,45,2021-06-10 03:44:26.715,Парковка,10040,['парковка'],Парковка/школа
проспект Мира,90,2021-06-09 11:01:14.871,"Поменять на этажах балконные двери, поставить пластиковые окна,домофон.",10041,"['поменять', 'этаж', 'балконный', 'дверь', 'поставлять', 'пластиковый', 'окно', 'домофон']",Необходимость дороги/тротуара
улица Шумилова,12 корп. 1,2021-06-13 00:39:30.588,"Благоустроить детскую площадку, дополнить детскими качелями, тренажёрами.",10042,"['благоустраивать', 'детский', 'площадка', 'дополнять', 'детский', 'качели', 'тренажер']",Детская площадка
улица Чернышевского,6,2021-06-11 12:23:52.565,"Починить тротуар во дворе, сделать тротуар, жэк не реагирует, нужно поменять окна в подъезде.
Не убирают падающее дерево во дворе, ждут пока оно упадет на машину.
Вертикаль не реагирует на заявку
Отремонтировать дорогу в сторону кладбища, вдоль завода, невозможно проехать",10043,"['починять', 'тротуар', 'двор', 'сделать', 'тротуар', 'жэк', 'реагировать', 'нужно', 'поменять', 'окно', 'подъезд', 'убирать', 'падать', 'дерево', 'двор', 'ждать', 'пока', 'оно', 'упасть', 'машина', 'вертикаль', 'реагировать', 'заявка', 'отремонтировать', 'дорога', 'сторона', 'кладбище', 'вдоль', 'завод', 'невозможно', 'проехать']",Необходимость дороги/тротуара
проспект 9-й Пятилетки,30,2021-06-12 08:53:03.268,Перенос проезжей части ближе к соседнему дому,10044,"['перенос', 'проезжий', 'часть', 'близко', 'соседний', 'дом']",Общее благоустройство
улица Терешковой,17,2021-06-12 09:03:42.449,Просим установить лежачий полицейский и детскую площадку,10046,"['просить', 'устанавливать', 'лежачий', 'полицейский', 'детский', 'площадка']",Детская площадка
улица Космонавта Николаева А.Г.,48,2021-06-07 12:43:51.041,"Благоустройство территории
Детская площадка",10047,"['благоустройство', 'территория', 'детский', 'площадка']",Общее благоустройство
улица 50 лет Октября,4,2021-06-08 12:06:02.402,"Ремонт подъезда
Ремонт дорог",10048,"['ремонт', 'подъезд', 'ремонт', 'дорогой']",Капитальный ремонт в доме
улица К.Либкнехта,13,2021-06-06 22:17:35.859,Проложить асфальтовую дорогу. Навести порядок на контейнерной площадке.,10049,"['пролагать', 'асфальтовый', 'дорога', 'навещать', 'порядок', 'контейнерный', 'площадка']",Общее благоустройство
улица Эльгера,26,2021-06-12 17:08:05.862,Поменять коммуникационный стояк. ,10050,"['поменять', 'коммуникационный', 'стояк']",Необходимость дороги/тротуара
улица И.П.Прокопьева,16,2021-06-09 00:05:19.579,Жалоб нет,10051,['жалоба'],Общее благоустройство
улица 1-ая Путепроводная,245,2021-06-09 00:46:51.865,"Просьба помощи в оформлении земельных участков. Деньги юристам уплачены, но администрация не дает добро",10052,"['просьба', 'помощь', 'оформление', 'земельный', 'участок', 'деньги', 'юрист', 'уплачивать', 'администрация', 'давать', 'добро']",Общее благоустройство
улица Гагарина Ю.,30,2021-06-08 15:33:03.381,"Ремонт тротуара
Ремонт крыльца",10053,"['ремонт', 'тротуар', 'ремонт', 'крыльцо']",Капитальный ремонт в доме
улица Терешковой,12,2021-06-10 12:57:36.461,"Дезинфекция тараканов, клопов, ремонт подъездов",10054,"['дезинфекция', 'таракан', 'клоп', 'ремонт', 'подъезд']",Капитальный ремонт в доме
улица Солнечная,26,2021-06-05 15:49:29.672,"Уменьшить пенсионный возраст, увеличить размер минимальной зарплаты",10055,"['уменьшать', 'пенсионный', 'возраст', 'увеличивать', 'размер', 'минимальный', 'зарплата']",Общее благоустройство
бульвар Гидростроителей,2,2021-06-14 14:38:17.807,"Сделать дорогу, ремонт лифтов и подъездов",10056,"['сделать', 'дорога', 'ремонт', 'лифт', 'подъезд']",Капитальный ремонт в доме
улица Текстильщиков,12,2021-06-06 20:28:39.508,Капитальный ремонт в подъезде,10057,"['капитальный', 'ремонт', 'подъезд']",Капитальный ремонт в доме
улица Чернышевского,26,2021-06-07 19:53:57.806,Сделать ремонт придомовой дороги по ул. Чернышевского 26,10058,"['сделать', 'ремонт', 'придомовый', 'дорога', 'ул', 'чернышевский', '26']",Общее благоустройство
улица Коммунистическая,26,2021-06-10 14:42:07.505,МАФ,10059,['маф'],Капитальный ремонт в доме
улица Николая Гастелло,9,2021-06-08 16:03:09.291,Обновить детскую площадку,10061,"['обновлять', 'детский', 'площадка']",Детская площадка
улица Богдана Хмельницкого,37,2021-06-17 13:05:34.529,Установить детскую площадку,10062,"['устанавливать', 'детский', 'площадка']",Общее благоустройство
проспект Мира,36,2021-06-06 19:02:22.911,"Парковка
Ремонт в подъезде
Асфальтирование дороги ",10063,"['парковка', 'ремонт', 'подъезд', 'асфальтирование', 'дорога']",Необходимость дороги/тротуара
улица Коммунистическая,22,2021-06-07 18:50:35.162,"Отремонтировать двор до конца.
Засеять газонную траву.
Ликвидировать парковку",10064,"['отремонтировать', 'двор', 'конец', 'засеивать', 'газонный', 'трава', 'ликвидировать', 'парковка']",Общее благоустройство
улица Эльгера,14,2021-06-08 21:39:38.509,Обновить детскую площадку ,10065,"['обновлять', 'детский', 'площадка']",Детская площадка
проспект Мира,23,2021-06-09 11:31:53.824,не приходят газеты Про город больше месяца,10066,"['приходить', 'газета', 'город', 'месяц']",Общее благоустройство
проспект Тракторостроителей,54,2021-06-06 16:33:17.513,Засыпать торфом вдоль отремонтированных дорожек у домов 54 и 52,10067,"['засыпать', 'торф', 'вдоль', 'отремонтировать', 'дорожка', 'дом', '54', '52']",Необходимость дороги/тротуара
