"id","text_appeal","adress","home","text_appeal_lem","type","lat","lng","created_at","updated_at"
"10000","Тротуар возле рощи","улица Советская","50А","""['тротуар', 'возле', 'роща']""","Need for a road",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:22"
"10001","прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК","улица Кукшумская","9","""['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'чэмк']""","General improvement","56.087348","47.273998","2021-10-30 11:06:19","2021-10-30 20:44:22"
"10002","прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК","улица Кукшумская","9","""['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'чэмк']""","General improvement","56.087348","47.273998","2021-10-30 11:06:19","2021-10-30 20:44:22"
"10003","Бегают тараканы по всему подъезду, необходимо вызывать службу дезинсекции.
Течет крыша, нужен кап.ремонт крыши - давно не делали, жэк не реагирует на просьбы жителей","улица Социалистическая","19","""['бегать', 'таракан', 'весь', 'подъезд', 'необходимо', 'вызывать', 'служба', 'дезинсекция', 'течь', 'крыша', 'нужный', 'кап', 'ремонт', 'крыша', ' - ', 'давно', 'делать', 'жэк', 'реагировать', 'просьба', 'житель']""","General improvement","56.110093","47.179789","2021-10-30 11:06:19","2021-10-30 20:44:22"
"10004","Мы жильцы дома №7 живем с 1978 и капитального ремонта ни разу не было. Прошу вас посодействовать, чтобы наш дом включили в программу капитального ремонта не 2030-2035, как можно раньше.
Наш двор 40 лет назад не был рассчитан на такое количество автомобилей, зимой они заезжают на тротуар, мешают чистить снег. Хотелось бы что бы помогли как не будь решить эту проблему","улица Ахазова","7","""['жилец', 'дом', '№', '7', 'жить', '1978', 'капитальный', 'ремонт', 'просить', 'посодействовать', 'наш', 'дом', 'включать', 'программа', 'капитальный', 'ремонт', '2030', '-', '2035', 'рано', 'наш', 'двор', '40', 'год', 'назад', 'рассчитать', 'количество', 'автомобиль', 'зима', 'заезжать', 'тротуар', 'мешать', 'чистить', 'снег', 'хотеться', 'помогать', 'решать', 'проблема']""","General improvement","56.145380","47.174163","2021-10-30 11:06:19","2021-10-30 20:44:22"
"10005","Нужны дополнительные парковочные места..","улица Кадыкова","18 корп. 1","""['нужный', 'дополнительный', 'парковочный', 'место', '..']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10006","Нужна нам всем жителям деревни Дорога!!","улица Ольдеевская","74","""['нужный', 'весь', 'житель', 'деревня', 'дорога', '!!']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10007","Навести порядок и обустроить место для ТБО.","проспект Ленина","25","""['навещать', 'порядок', 'обустраивать', 'место', 'тбо']""","General improvement","56.124525","47.252694","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10008","сделать дорогу","проспект Мира","ё","""['сделать', 'дорога']""","Need for a road","56.123200","47.281117","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10009","поменять в доме провода, щиток опасный.нужен кап.ремонт","переулок Ягодный","7","""['поменять', 'дом', 'провод', 'щиток', 'опасный', 'нужный', 'кап', 'ремонт']""","Major overhaul","56.110638","47.223825","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10010","Большая комиссия при оплате КУ на почте, приходили проверять вентиляцию, через 10 мин озвучили сумму 5000, не выполнив работу(мошенники) ","бульвар Гидростроителей","4","""['большой', 'комиссия', 'оплата', 'ку', 'почта', 'приходить', 'проверять', 'вентиляция', '10', 'мина', 'озвучивать', 'сумма', '5000', 'выполнять', 'работа', '(', 'мошенник']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10011","Поменять бордюры. Скамейки поставили под окнами. Скамейки поставить с одной стороны. Скамейки поставить подальше от домов ","улица Винокурова","71","""['поменять', 'бордюр', 'скамейка', 'поставлять', 'окно', 'скамейка', 'поставлять', 'сторона', 'скамейка', 'поставлять', 'далеко', 'дом']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10012","Социальная помощь инвалидам. ","улица Эльгера","17","""['социальный', 'помощь', 'инвалид']""","General improvement","56.147112","47.177602","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10013","спорт площадки, мало деревьев","улица П.В.Дементьева","22","""['спорт', 'площадка', 'мало', 'дерево']""","Need for a road","56.116633","47.219967","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10014","Благоустройство территории 
Ремонт дорог","улица 50 лет Октября","14","""['благоустройство', 'территория', ' \\n', 'ремонт', 'дорогой']""","Need for a road","56.128889","47.276906","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10015","Благоустройство дет. площадки.","бульвар Эгерский","25","""['благоустройство', 'дет', 'площадка']""","Need for a road","56.103819","47.278361","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10016","Благоустройство детской площадки
","проспект Мира","38","""['благоустройство', 'детский', 'площадка']""","General improvement","56.122210","47.278261","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10017","Мало школ, банкоматов","улица Чернышевского","27","""['мало', 'школа', 'банкомат']""","school","56.122817","47.177637","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10018","контроль цен жкх
в магазине","проспект Мира","23Б","""['контроль', 'цена', 'жкх', 'магазин']""","General improvement","56.107074","47.267675","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10019","Благоустройство 10-й Пятилетки","улица 10 Пятилетки","46","""['благоустройство', '10', '-', 'й', 'пятилетка']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10020","Нужны скамейки. Ремонт дороги.","улица Бичурина","8","""['нужный', 'скамейка', 'ремонт', 'дорога']""","General improvement","56.082761","47.281496","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10021","Благоустроить дворовую территорию ( детскую площадку), дорога. ","улица Ахазова","3","""['благоустраивать', 'дворовый', 'территория', ' ( ', 'детский', 'площадка', '), ', 'дорога']""","General improvement","56.145324","47.171675","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10022","Отремонтировать дорогу перед домом","улица Советская","12","""['отремонтировать', 'дорога', 'дом']""","Need for a road",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10023","Ремонт дороги, обустройство детской площадки","улица Комсомольская","12","""['ремонт', 'дорога', 'обустройство', 'детский', 'площадка']""","Need for a road","56.070263","47.224586","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10024","Чтобы больше обращали внимание на престарелых пенсионеров и помогали отремонтировать их квартиры.
","улица Энтузиастов","15","""['обращать', 'внимание', 'престарелый', 'пенсионер', 'помогать', 'отремонтировать', 'квартира']""","General improvement","56.124087","47.194749","2021-10-30 11:06:19","2021-10-30 20:44:23"
